Country Name,Year,Indicator Name,Value
Eritrea,2023,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",63.97764203
Eritrea,2022,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",64.3421891
Eritrea,2021,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",65.03571552
Eritrea,2020,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",64.92485096
Eritrea,2019,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",64.88809795
Eritrea,2018,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",65.49915932
Eritrea,2017,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.89793119
Eritrea,2016,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.09525005
Eritrea,2015,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.07408937
Eritrea,2014,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",65.49784062
Eritrea,2013,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.41971582
Eritrea,2012,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.56021494
Eritrea,2011,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.93221034
Eritrea,2010,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",68.06170526
Eritrea,2009,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.89097772
Eritrea,2008,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",68.52799158
Eritrea,2007,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.6193278
Eritrea,2006,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.84980906
Eritrea,2005,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",67.96749408
Eritrea,2004,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",68.51727291
Eritrea,2003,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",68.97994859
Eritrea,2002,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",68.61356474
Eritrea,2001,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",69.09560384
Eritrea,2000,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",70.33473312
Eritrea,1999,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",69.86827474
Eritrea,1998,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",69.64992404
Eritrea,1997,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",69.17443455
Eritrea,1996,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",70.01501353
Eritrea,1995,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",70.60532487
Eritrea,1994,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",70.64220664
Eritrea,1993,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",71.41551995
Eritrea,1992,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",71.8603306
Eritrea,1991,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",71.45646374
Eritrea,2023,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",58.07733999
Eritrea,2022,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",58.51897367
Eritrea,2021,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",58.83934823
Eritrea,2020,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",59.15646335
Eritrea,2019,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",58.77510639
Eritrea,2018,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",59.52649241
Eritrea,2017,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",61.47305147
Eritrea,2016,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",60.29752378
Eritrea,2015,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",61.62838906
Eritrea,2014,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",59.90088527
Eritrea,2013,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",62.53979499
Eritrea,2012,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",61.34754438
Eritrea,2011,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",61.8426379
Eritrea,2010,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.05166524
Eritrea,2009,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.5988342
Eritrea,2008,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",64.17870867
Eritrea,2007,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.05672837
Eritrea,2006,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.42781467
Eritrea,2005,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.4377925
Eritrea,2004,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.37982451
Eritrea,2003,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.18513739
Eritrea,2002,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",62.73287926
Eritrea,2001,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",62.94921142
Eritrea,2000,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.65144315
Eritrea,1999,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",63.87632564
Eritrea,1998,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",64.29271258
Eritrea,1997,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",65.00074105
Eritrea,1996,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",65.47490478
Eritrea,1995,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",65.82815995
Eritrea,1994,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",65.82667803
